libffi8:amd64	3.5.2-4
libfftw3-double3:amd64	3.3.10-2fakesync1build3
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libflac14:amd64	1.5.0+ds-5
libflite1:amd64	2.2-7build1
libfontconfig-dev:amd64	2.17.1-3ubuntu1
libfontconfig1:amd64	2.17.1-3ubuntu1
libfontconfig1-dev:amd64	2.17.1-3ubuntu1
libfreerdp-server3-3:amd64	3.31.0+dfsg-0ubuntu0.26.04.1
libfreerdp3-3:amd64	3.31.0+dfsg-0ubuntu0.26.04.1
libfreetype-dev:amd64	2.14.2+dfsg-1ubuntu0.1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libfyaml0:amd64	0.9.4-1
libgbm1:amd64	26.0.8-1ubuntu0.3
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1.1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.8-1ubuntu0.3
libgles2:amd64	1.7.0-3
libglib2.0-0t64:amd64	2.88.0-1
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.8-1ubuntu0.3
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgme0:amd64	0.6.4-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error0:amd64	1.58-2
libgprofng0:amd64	2.46-3ubuntu2
libgraphene-1.0-0:amd64	1.10.8-5build1
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgsm1:amd64	1.0.23-2
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
libgstreamer-gl1.0-0:amd64	1.28.2-1
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1
libgstreamer-plugins-extra1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer1.0-0:amd64	1.28.2-1
libgtk-4-1:amd64	4.22.4+ds-0ubuntu0.1
libgtk-4-common	4.22.4+ds-0ubuntu0.1
libgtk4-layer-shell0:amd64	1.3.0-1
libgudev-1.0-0:amd64	1:238-7build1
libharfbuzz-subset0:amd64	12.3.2-2
libharfbuzz0b:amd64	12.3.2-2
libheif-plugin-aomdec:amd64	1.21.2-3ubuntu0.4
libheif1:amd64	1.21.2-3ubuntu0.4
libhogweed6t64:amd64	3.10.2-1
libhwasan0:amd64	16-20260322-1ubuntu1
libhwy1t64:amd64	1.3.0-2
libicu78:amd64	78.2-2ubuntu1
libidn2-0:amd64	2.3.8-4build1
libinput-bin	1.31.1-1ubuntu1.1
libinput10:amd64	1.31.1-1ubuntu1.1
libisl23:amd64	0.27-1build1
libitm1:amd64	16-20260322-1ubuntu1
libjansson4:amd64	2.14-2build4
libjbig0:amd64	2.1-6.1ubuntu3
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libjson-c5:amd64	0.18+ds-3
libjxl0.11:amd64	0.11.1-6ubuntu4.2
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkeyutils1:amd64	1.6.3-6ubuntu3
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
liblcms2-2:amd64	2.17-1ubuntu0.2
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
liblerc4:amd64	4.0.0+ds-5ubuntu2
liblilv-0-0:amd64	0.26.2-1
libllvm21:amd64	1:21.1.8-6ubuntu1
liblsan0:amd64	16-20260322-1ubuntu1
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmbedcrypto16:amd64	3.6.5-0.1ubuntu2
libmd0:amd64	1.1.0-2build4
libmount1:amd64	2.41.3-3ubuntu2.2
libmp3lame0:amd64	3.101~svn6525+dfsg-2
libmpc3:amd64	1.3.1-3
libmpfr6:amd64	4.2.2-3
libmpg123-0t64:amd64	1.33.3-2
libmtdev1t64:amd64	1.1.7-1build1
libmysofa1:amd64	1.3.3+dfsg-1ubuntu2
libncursesw6:amd64	6.6+20251231-1
libneatvnc0:amd64	0.9.1+dfsg-1build1
libnettle8t64:amd64	3.10.2-1
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnorm1t64:amd64	1.5.9+dfsg-4
libnuma1:amd64	2.0.19-1build1
libogg0:amd64	1.3.6-2
libopenjp2-7:amd64	2.5.4-1ubuntu0.1
libopenmpt0t64:amd64	0.8.4-1
libopus0:amd64	1.6.1-1
liborc-0.4-0t64:amd64	1:0.4.42-2
libp11-kit0:amd64	0.26.2-2
libpam-modules:amd64	1.7.0-5ubuntu3.2
libpam-modules-bin	1.7.0-5ubuntu3.2
libpam-runtime	1.7.0-5ubuntu3.2
libpam-systemd:amd64	259.5-0ubuntu3.4
libpam0g:amd64	1.7.0-5ubuntu3.2
libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libpciaccess0:amd64	0.18.1-1ubuntu4.1
libpcre2-8-0:amd64	10.46-1build1
libperl5.40:amd64	5.40.1-7ubuntu0.3
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libpkgconf7:amd64	2.5.1-4
libplacebo360:amd64	7.360.0-3
libpng-dev:amd64	1.6.57-1
libpng16-16t64:amd64	1.6.57-1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libpsl5t64:amd64	0.21.2-1.1build2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14:amd64	3.14.4-1ubuntu0.2
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.2
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.2
libquadmath0:amd64	16-20260322-1ubuntu1
librabbitmq4:amd64	0.15.0-1ubuntu0.26.04.2
librav1e0.8:amd64	0.8.1-7
libreadline8t64:amd64	8.3-4
librist4:amd64	0.2.11+dfsg-1build1
librsvg2-2:amd64	2.61.3+dfsg-3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
librubberband3:amd64	4.0.0+dfsg-2ubuntu1
libsamplerate0:amd64	0.2.2-4build2
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libseat1:amd64	0.9.2-2
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5:amd64	1:3.6.2-2build1
libsepol2:amd64	3.9-2
libserd-0-0:amd64	0.32.6-1
libsframe3:amd64	2.46-3ubuntu2
libsharpyuv0:amd64	1.5.0-0.1build1
libshine3:amd64	3.1.1-3build1
libsmartcols1:amd64	2.41.3-3ubuntu2.2
libsnappy1v5:amd64	1.2.2-2
libsndfile1:amd64	1.2.2-4
libsodium23:amd64	1.0.18-2
libsord-0-0:amd64	0.16.20-1
libsoxr0:amd64	0.1.3-4.1
libspa-0.2-modules:amd64	1.6.2-1ubuntu1.1
libspeex1:amd64	1.2.1-3build1
libsqlite3-0:amd64	3.46.1-9ubuntu0.2
libsratom-0-0:amd64	0.6.20-1
libsrt1.5-gnutls:amd64	1.5.4-3
libss2:amd64	1.47.2-3ubuntu4
libssh-4:amd64	0.11.3-1ubuntu2.1
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.4
libssl3t64:amd64	3.5.5-1ubuntu3.5
libstdc++-15-dev:amd64	15.2.0-16ubuntu1
libstdc++6:amd64	16-20260322-1ubuntu1
libstemmer0d:amd64	3.0.1-1
libsvtav1enc2:amd64	2.3.0+dfsg-1build1
libswresample6:amd64	7:8.0.1-3ubuntu2
libswscale9:amd64	7:8.0.1-3ubuntu2
libsystemd-shared:amd64	259.5-0ubuntu3.4
libsystemd0:amd64	259.5-0ubuntu3.4
libtasn1-6:amd64	4.21.0-2
libthai-data	0.1.30-1
libthai0:amd64	0.1.30-1
libtheoradec2:amd64	1.2.0+dfsg-6
libtheoraenc2:amd64	1.2.0+dfsg-6
libtiff6:amd64	4.7.0-3ubuntu5
libtinfo6:amd64	6.6+20251231-1
libtsan2:amd64	16-20260322-1ubuntu1
libturbojpeg0:amd64	1:2.1.5-4ubuntu4
libtwolame0:amd64	0.4.0-2build4
libubsan1:amd64	16-20260322-1ubuntu1
libudev1:amd64	259.5-0ubuntu3.4
libudfread3:amd64	1.2.0-2
libunibreak6:amd64	6.1-3build1
libunistring5:amd64	1.3-2build1
libuuid1:amd64	2.41.3-3ubuntu2.2
libva-drm2:amd64	2.23.0-1ubuntu1
libva-x11-2:amd64	2.23.0-1ubuntu1
libva2:amd64	2.23.0-1ubuntu1
libvdpau1:amd64	1.5-4
libvidstab1.1:amd64	1.1.0-2.1
libvorbis0a:amd64	1.3.7-3build2
libvorbisenc2:amd64	1.3.7-3build2
libvorbisfile3:amd64	1.3.7-3build2
libvpl2	1:2.16.0-1
libvpx12:amd64	1.16.0-3
libvulkan1:amd64	1.4.341.0-1
libwacom-common	2.18.0-1
libwacom9:amd64	2.18.0-1
libwayland-client0:amd64	1.24.0-2
libwayland-cursor0:amd64	1.24.0-2
libwayland-egl1:amd64	1.24.0-2
libwayland-server0:amd64	1.24.0-2
libwebp7:amd64	1.5.0-0.1build1
libwebpmux3:amd64	1.5.0-0.1build1
libwebrtc-audio-processing-1-3:amd64	1.3-3build2
libweston-14-0:amd64	14.0.2-5
libwinpr3-3:amd64	3.31.0+dfsg-0ubuntu0.26.04.1
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libx11-xcb1:amd64	2:1.8.13-1
libx264-165:amd64	2:0.165.3222+gitb35605ac-3build1
libx265-215:amd64	4.1-4
libxau6:amd64	1:1.0.11-1build2
libxcb-composite0:amd64	1.17.0-2ubuntu1
libxcb-dri3-0:amd64	1.17.0-2ubuntu1
libxcb-glx0:amd64	1.17.0-2ubuntu1
libxcb-present0:amd64	1.17.0-2ubuntu1
libxcb-randr0:amd64	1.17.0-2ubuntu1
libxcb-render0:amd64	1.17.0-2ubuntu1
libxcb-shm0:amd64	1.17.0-2ubuntu1
libxcb-sync1:amd64	1.17.0-2ubuntu1
libxcb-xfixes0:amd64	1.17.0-2ubuntu1
libxcb-xkb1:amd64	1.17.0-2ubuntu1
libxcb1:amd64	1.17.0-2ubuntu1
libxcursor1:amd64	1:1.2.3-1build1
libxdamage1:amd64	1:1.1.7-1
libxdmcp6:amd64	1:1.1.5-2
libxdo3:amd64	1:3.20160805.1-5.1build1
libxext6:amd64	2:1.3.4-1build3
libxfixes3:amd64	1:6.0.0-2build2
libxi6:amd64	2:1.8.2-2
libxinerama1:amd64	2:1.1.4-3build2
libxkbcommon-x11-0:amd64	1.13.1-1
libxkbcommon0:amd64	1.13.1-1
libxkbfile1:amd64	1:1.1.0-1build5
libxml2-16:amd64	2.15.2+dfsg-0.1ubuntu0.1
libxmlb2:amd64	0.3.24-2
libxrandr2:amd64	2:1.5.4-1build1
libxrender1:amd64	1:0.9.12-1build1
libxshmfence1:amd64	1.3.3-1build1
libxtst6:amd64	2:1.2.5-1build1
libxvidcore4:amd64	2:1.3.7-3
libxxf86vm1:amd64	1:1.1.4-2
libxxhash0:amd64	0.8.3-2build1
libzimg2:amd64	3.0.6+ds1-1
libzix-0-0:amd64	0.8.0-1
libzmq5:amd64	4.3.5-1build3
libzstd1:amd64	1.5.7+dfsg-3
libzvbi-common	0.2.44-1ubuntu2
libzvbi0t64:amd64	0.2.44-1ubuntu2
linux-libc-dev:amd64	7.0.0-31.31
login	1:4.16.0-2+really2.41.3-3ubuntu2.2
login.defs	1:4.17.4-2ubuntu3
logsave	1.47.2-3ubuntu4
lto-disabled-list	79
make	4.4.1-3
mawk	1.3.4.20260129-1
media-types	14.0.0build1
mesa-libgallium:amd64	26.0.8-1ubuntu0.3
mount	2.41.3-3ubuntu2.2
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
ncurses-term	6.6+20251231-1
netbase	6.5build1
ocl-icd-libopencl1:amd64	2.3.4-1
openssl	3.5.5-1ubuntu3.5
openssl-provider-legacy	3.5.5-1ubuntu3.5
passwd	1:4.17.4-2ubuntu3
patch	2.8-2build1
perl	5.40.1-7ubuntu0.3
perl-base	5.40.1-7ubuntu0.3
perl-modules-5.40	5.40.1-7ubuntu0.3
pkg-config:amd64	2.5.1-4
pkgconf:amd64	2.5.1-4
pkgconf-bin	2.5.1-4
procps	2:4.0.4-9ubuntu1
python3	3.14.3-0ubuntu2
python3-minimal	3.14.3-0ubuntu2
python3.14	3.14.4-1ubuntu0.2
python3.14-minimal	3.14.4-1ubuntu0.2
readline-common	8.3-4
rpcsvc-proto	1.4.3-1build1
rust-coreutils	0.8.0-0ubuntu3
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
shared-mime-info	2.4-5build3
systemd	259.5-0ubuntu3.4
systemd-sysv	259.5-0ubuntu3.4
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4
tzdata	2026c-0ubuntu0.26.04.1
ubuntu-keyring	2023.11.28.1build1
util-linux	2.41.3-3ubuntu2.2
uuid-dev:amd64	2.41.3-3ubuntu2.2
weston	14.0.2-5
x11-common	1:7.7+26ubuntu1
xdotool	1:3.20160805.1-5.1build1
xkb-data	2.46-2
xz-utils	5.8.3-1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3.1
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3.1
